customer_id,subscription_id,amount,payment_method,failure_reason,attempt_number,previous_successes,previous_failures,customer_tenure_days,subscription_age_days,plan_value,days_since_failure,historical_recovery_rate,customer_segment,recovered
C1000,sub_1000,2499,card,bank_decline,1,12,1,1263,810,2499,2,0.812,standard,0
C1001,sub_1001,999,upi,insufficient_funds,4,10,2,688,666,999,20,0.733,new,1
C1002,sub_1002,2499,upi,bank_decline,2,5,6,1045,187,2499,11,0.429,standard,0
C1003,sub_1003,499,card,card_expired,4,1,0,1444,896,499,21,0.5,loyal,0
C1004,sub_1004,499,card,network,3,2,0,81,893,499,9,0.6,standard,1
C1005,sub_1005,299,card,technical,2,3,2,173,37,299,18,0.5,loyal,1
C1006,sub_1006,1499,upi,bank_decline,3,5,4,1380,24,1499,7,0.5,loyal,1
C1007,sub_1007,2499,upi,bank_decline,1,12,5,856,221,2499,9,0.65,loyal,1
C1008,sub_1008,499,upi,network,4,1,3,930,714,499,7,0.286,standard,0
C1009,sub_1009,799,card,insufficient_funds,2,8,3,518,538,799,12,0.643,new,0
C1010,sub_1010,999,card,insufficient_funds,2,4,6,1241,461,999,4,0.385,loyal,0
C1011,sub_1011,2499,card,technical,1,0,1,973,374,2499,11,0.25,standard,1
C1012,sub_1012,799,card,card_expired,2,8,6,393,432,799,18,0.529,loyal,0
C1013,sub_1013,999,upi,bank_decline,2,9,2,976,574,999,3,0.714,standard,1
C1014,sub_1014,499,card,insufficient_funds,2,13,1,15,58,499,17,0.824,standard,0
C1015,sub_1015,2499,card,network,5,7,6,368,528,2499,18,0.5,new,0
C1016,sub_1016,4999,card,card_expired,2,4,4,313,199,4999,0,0.455,standard,0
C1017,sub_1017,2499,card,network,1,11,3,1180,709,2499,14,0.706,standard,0
C1018,sub_1018,2499,card,bank_decline,3,3,2,1105,176,2499,10,0.5,enterprise,0
C1019,sub_1019,2499,card,card_expired,2,9,3,145,64,2499,14,0.667,loyal,1
C1020,sub_1020,2499,netbanking,bank_decline,3,13,5,1360,391,2499,6,0.667,standard,1
C1021,sub_1021,999,upi,insufficient_funds,4,0,1,1229,397,999,4,0.25,standard,0
C1022,sub_1022,499,netbanking,technical,1,12,1,657,467,499,6,0.812,new,1
C1023,sub_1023,4999,upi,technical,3,2,2,325,774,4999,3,0.429,standard,0
C1024,sub_1024,299,upi,bank_decline,1,6,3,636,630,299,8,0.583,enterprise,0
C1025,sub_1025,799,card,network,1,3,5,888,327,799,19,0.364,loyal,0
C1026,sub_1026,2499,card,insufficient_funds,1,2,1,948,654,2499,17,0.5,standard,0
C1027,sub_1027,2499,card,network,1,9,5,527,453,2499,3,0.588,loyal,1
C1028,sub_1028,1499,card,network,2,6,6,161,202,1499,12,0.467,new,0
C1029,sub_1029,999,card,card_expired,5,7,3,918,20,999,1,0.615,enterprise,0
C1030,sub_1030,4999,card,bank_decline,5,6,6,1060,4,4999,1,0.467,standard,0
C1031,sub_1031,499,upi,technical,1,10,6,408,202,499,13,0.579,new,1
C1032,sub_1032,299,card,insufficient_funds,5,13,5,962,737,299,6,0.667,loyal,0
